Day,Month,Year,Zero,Channel,Position,Depth
16,4,2017,24.75,1,22.95,-1.8
16,4,2017,24.75,1,22.65,-2.1
27,5,2017,24.75,1,22.45,-2.3
16,4,2017,24.75,2,24.05,-0.7
16,4,2017,24.75,2,23.75,-1
27,5,2017,24.75,2,23.55,-1.2
16,4,2017,24.75,3,23,-1.75
16,4,2017,24.75,3,22.7,-2.05
27,5,2017,24.75,3,22.5,-2.25
16,4,2017,24.75,4,23.1,-1.65
16,4,2017,24.75,4,22.8,-1.95
27,5,2017,24.75,4,22.6,-2.15
16,4,2017,24.75,5,23.2,-1.55
16,4,2017,24.75,5,22.95,-1.8
27,5,2017,24.75,5,22.75,-2
16,4,2017,24.75,6,23.7,-1.05
16,4,2017,24.75,6,23.2,-1.55
27,5,2017,24.75,6,23,-1.75
16,4,2017,24.75,7,23.85,-0.9
16,4,2017,24.75,7,23.5,-1.25
27,5,2017,24.75,7,23.3,-1.45
16,4,2017,24.75,8,23.8,-0.95
16,4,2017,24.75,8,23.5,-1.25
27,5,2017,24.75,8,23.3,-1.45
16,4,2017,24.75,9,23.8,-0.95
16,4,2017,24.75,9,23.5,-1.25
27,5,2017,24.75,9,23.3,-1.45
16,4,2017,24.75,10,23.85,-0.9
16,4,2017,24.75,10,23.55,-1.2
27,5,2017,24.75,10,23.3,-1.45
16,4,2017,24.75,11,24.25,-0.5
16,4,2017,24.75,11,24,-0.75
27,5,2017,24.75,11,23.8,-0.95
16,4,2017,24.75,12,23.6,-1.15
16,4,2017,24.75,12,23.3,-1.45
27,5,2017,24.75,12,23.1,-1.65
16,4,2017,24.75,13,23.25,-1.5
16,4,2017,24.75,13,23,-1.75
27,5,2017,24.75,13,22.7,-2.05
16,4,2017,24.75,14,23,-1.75
16,4,2017,24.75,14,22.7,-2.05
27,5,2017,24.75,14,22.5,-2.25
16,4,2017,24.75,15,23.25,-1.5
16,4,2017,24.75,15,23,-1.75
27,5,2017,24.75,15,22.7,-2.05
16,4,2017,24.75,16,23.4,-1.35
16,4,2017,24.75,16,23.1,-1.65
27,5,2017,24.75,16,22.9,-1.85
30,9,2017,24.9,1,21.9,-3
30,9,2017,24.9,2,22.9,-2
30,9,2017,24.9,3,21.9,-3
30,9,2017,24.9,4,22,-2.9
30,9,2017,24.9,5,22.1,-2.8
30,9,2017,24.9,6,22.4,-2.5
30,9,2017,24.9,7,22.7,-2.2
30,9,2017,24.9,8,22.9,-2
30,9,2017,24.9,9,22.9,-2
30,9,2017,24.9,10,22.7,-2.2
30,9,2017,24.9,14,21.8,-3.1
30,9,2017,24.9,15,22.1,-2.8
30,9,2017,24.9,16,22.2,-2.7
29,7,2017,24.7,1,22.2,-2.5
29,7,2017,24.7,2,23.3,-1.4
29,7,2017,24.7,3,22.2,-2.5
29,7,2017,24.7,4,22.3,-2.4
29,7,2017,24.7,5,22.5,-2.2
29,7,2017,24.7,6,22.75,-1.95
29,7,2017,24.7,7,23.1,-1.6
29,7,2017,24.7,8,23.15,-1.55
29,7,2017,24.7,9,23.1,-1.6
29,7,2017,24.7,10,23.1,-1.6
29,7,2017,24.7,11,23.55,-1.15
29,7,2017,24.7,12,22.85,-1.85
29,7,2017,24.7,13,22.45,-2.25
29,7,2017,24.7,14,22.25,-2.45
29,7,2017,24.7,15,22.45,-2.25
29,7,2017,24.7,16,22.65,-2.05
16,9,2017,24.9,1,22.2,-2.7
16,9,2017,24.9,2,23.25,-1.65
16,9,2017,24.9,3,22.2,-2.7
16,9,2017,24.9,4,22.3,-2.6
16,9,2017,24.9,5,22.5,-2.4
16,9,2017,24.9,6,22.7,-2.2
16,9,2017,24.9,7,23.1,-1.8
16,9,2017,24.9,8,23.1,-1.8
16,9,2017,24.9,9,23.1,-1.8
16,9,2017,24.9,10,23,-1.9
16,9,2017,24.9,11,23.5,-1.4
16,9,2017,24.9,12,22.8,-2.1
16,9,2017,24.9,13,22.4,-2.5
16,9,2017,24.9,14,22.2,-2.7
16,9,2017,24.9,15,22.4,-2.5
16,9,2017,24.9,16,22.6,-2.3
23,9,2017,24.9,1,22,-2.9
23,9,2017,24.9,2,23.05,-1.85
23,9,2017,24.9,3,22,-2.9
23,9,2017,24.9,4,22.1,-2.8
23,9,2017,24.9,5,22.3,-2.6
23,9,2017,24.9,6,22.5,-2.4
23,9,2017,24.9,7,22.9,-2
23,9,2017,24.9,8,23.05,-1.85
23,9,2017,24.9,9,22.95,-1.95
23,9,2017,24.9,10,22.8,-2.1
23,9,2017,24.9,11,23.4,-1.5
23,9,2017,24.9,12,22.6,-2.3
23,9,2017,24.9,14,22,-2.9
23,9,2017,24.9,15,22.2,-2.7
23,9,2017,24.9,16,22.4,-2.5
