Day,Month,Year,Zero,Channel,Position
15,4,2018,24.8,0,24.1
15,4,2018,24.8,0,24.4
15,4,2018,24.8,1,23
15,4,2018,24.8,1,23.3
15,4,2018,24.8,2,24.4
15,4,2018,24.8,2,24.7
15,4,2018,24.8,3,24.3
15,4,2018,24.8,3,24.55
15,4,2018,24.8,4,23.5
15,4,2018,24.8,4,23.7
15,4,2018,24.8,5,24.9
15,4,2018,24.8,5,25.2
15,4,2018,24.8,6,24.85
15,4,2018,24.8,6,25.15
15,4,2018,24.8,7,24.7
15,4,2018,24.8,7,24.8
15,4,2018,24.8,8,23.9
15,4,2018,24.8,8,24.25
15,4,2018,24.8,9,24.65
15,4,2018,24.8,9,25.05
15,4,2018,24.8,10,23.9
15,4,2018,24.8,10,24.2
15,4,2018,24.8,11,24.7
15,4,2018,24.8,11,25
15,4,2018,24.8,12,24.65
15,4,2018,24.8,13,25.2
15,4,2018,24.8,13,25.5
15,4,2018,24.8,14,24.6
15,4,2018,24.8,14,24.85
15,4,2018,24.8,15,24.95
15,4,2018,24.8,15,25.25
15,4,2018,24.8,16,23
15,4,2018,24.8,16,23.25
15,4,2018,24.8,17,24.7
15,4,2018,24.8,17,25
15,4,2018,24.8,18,23.6
15,4,2018,24.8,18,23.9
15,4,2018,24.8,19,22.7
15,4,2018,24.8,19,22.9
15,4,2018,24.8,20,24.65
15,4,2018,24.8,20,24.95
15,4,2018,24.8,21,24.5
15,4,2018,24.8,21,24.7
15,4,2018,24.8,22,24.85
15,4,2018,24.8,22,25.15
15,4,2018,24.8,23,23.3
15,4,2018,24.8,23,23.6
15,4,2018,24.8,24,23.6
15,4,2018,24.8,24,23.95
15,4,2018,24.8,25,24
15,4,2018,24.8,25,24.25
15,4,2018,24.8,26,24
15,4,2018,24.8,26,24.3
15,4,2018,24.8,27,24.15
15,4,2018,24.8,27,24.45
15,4,2018,24.8,28,24.1
15,4,2018,24.8,28,24.3
15,4,2018,24.8,29,24.8
