Day,Month,Year,Zero,Channel,Position,Depth
10,9,2020,25,0,20.8,-4.2
26,7,2020,25,0,20.9,-4.1
1,2,2020,25,0,21,-4
30,3,2019,24.4,0,20.5,-3.9
5,1,2019,24.4,0,21,-3.4
2,12,2018,24.4,0,21.5,-2.9
27,11,2018,24.4,0,21.8,-2.6
4,11,2018,24.4,0,22.1,-2.3
7,7,2018,24.8,0,22.6,-2.2
7,5,2018,24.8,0,22.8,-2
13,4,2018,24.8,0,23,-1.8
2,12,2018,24.4,1,21.7,-2.7
27,11,2018,24.4,1,22,-2.4
4,11,2018,24.4,1,22.5,-1.9
7,7,2018,24.8,1,23,-1.8
7,5,2018,24.8,1,23.1,-1.7
13,4,2018,24.8,1,23.25,-1.55
10,9,2020,25,2,20.9,-4.1
26,7,2020,25,2,21,-4
1,2,2020,25,2,21.1,-3.9
30,3,2019,24.4,2,20.7,-3.7
5,1,2019,24.4,2,21.2,-3.2
2,12,2018,24.4,2,21.7,-2.7
27,11,2018,24.4,2,22,-2.4
4,11,2018,24.4,2,22.6,-1.8
7,7,2018,24.8,2,23.1,-1.7
7,5,2018,24.8,2,23.3,-1.5
13,4,2018,24.8,2,23.5,-1.3
10,9,2020,25,4,21.35,-3.65
26,7,2020,25,4,21.45,-3.55
1,2,2020,25,4,21.55,-3.45
27,11,2018,24.4,4,21.1,-3.3
4,11,2018,24.4,4,21.8,-2.6
7,7,2018,24.8,4,22.3,-2.5
7,5,2018,24.8,4,22.5,-2.3
13,4,2018,24.8,4,22.7,-2.1
13,4,2018,24.8,4,23,-1.8
13,4,2018,24.8,5,22.3,-2.5
13,4,2018,24.8,5,22.5,-2.3
10,9,2020,25,6,21.6,-3.4
26,7,2020,25,6,21.7,-3.3
1,2,2020,25,6,21.8,-3.2
30,3,2019,24.4,6,21.3,-3.1
5,1,2019,24.4,6,21.8,-2.6
2,12,2018,24.4,6,21.9,-2.5
27,11,2018,24.4,6,22,-2.4
4,11,2018,24.4,6,22.3,-2.1
7,7,2018,24.8,6,22.8,-2
7,5,2018,24.8,6,23,-1.8
13,4,2018,24.8,6,23.2,-1.6
13,4,2018,24.8,6,23.5,-1.3
10,9,2020,25,7,20.6,-4.4
26,7,2020,25,7,20.7,-4.3
1,2,2020,25,7,20.8,-4.2
30,3,2019,24.4,7,20.35,-4.05
5,1,2019,24.4,7,20.75,-3.65
2,12,2018,24.4,7,21,-3.4
27,11,2018,24.4,7,21.2,-3.2
4,11,2018,24.4,7,21.6,-2.8
7,7,2018,24.8,7,22.1,-2.7
7,5,2018,24.8,7,22.3,-2.5
13,4,2018,24.8,7,22.5,-2.3
13,4,2018,24.8,7,22.75,-2.05
10,9,2020,25,8,21.8,-3.2
26,7,2020,25,8,21.9,-3.1
1,2,2020,25,8,22,-3
30,3,2019,24.4,8,21.5,-2.9
5,1,2019,24.4,8,21.6,-2.8
2,12,2018,24.4,8,21.65,-2.75
27,11,2018,24.4,8,21.9,-2.5
4,11,2018,24.4,8,22.2,-2.2
7,7,2018,24.8,8,22.7,-2.1
7,5,2018,24.8,8,22.9,-1.9
13,4,2018,24.8,8,23.1,-1.7
13,4,2018,24.8,8,23.4,-1.4
10,9,2020,25,9,21.8,-3.2
26,7,2020,25,9,21.9,-3.1
1,2,2020,25,9,22,-3
30,3,2019,24.4,9,21.5,-2.9
5,1,2019,24.4,9,21.8,-2.6
2,12,2018,24.4,9,22.2,-2.2
27,11,2018,24.4,9,22.4,-2
4,11,2018,24.4,9,22.7,-1.7
7,7,2018,24.8,9,23.2,-1.6
7,5,2018,24.8,9,23.4,-1.4
13,4,2018,24.8,9,23.6,-1.2
13,4,2018,24.8,9,23.85,-0.95
10,9,2020,25,10,21.2,-3.8
26,7,2020,25,10,21.3,-3.7
1,2,2020,25,10,21.4,-3.6
27,11,2018,24.4,10,21,-3.4
4,11,2018,24.4,10,21.4,-3
