Day,Month,Year,Zero,Channel,Position
4,12,2020,22.75,10,22.25
4,12,2020,22.75,10,21.9
4,12,2020,22.75,12,22.35
4,12,2020,22.75,12,22
4,12,2020,22.75,13,22
4,12,2020,22.75,13,21.6
4,12,2020,22.75,14,22.7
4,12,2020,22.75,14,22.3
4,12,2020,22.75,15,23.15
4,12,2020,22.75,15,22.8
6,12,2020,22.75,3,22.35
6,12,2020,22.75,3,22
6,12,2020,22.75,5,22
6,12,2020,22.75,5,21.6
6,12,2020,22.75,6,22.3
6,12,2020,22.75,6,21.9
14,12,2020,22.75,16,21.5
14,12,2020,22.75,17,21.55
14,12,2020,22.75,18,22.15
14,12,2020,22.75,20,21.7
14,12,2020,22.75,21,22.3
14,12,2020,22.75,22,22.15
14,12,2020,22.75,23,22.25
14,12,2020,22.75,24,21
14,12,2020,22.75,25,22.05
14,12,2020,22.75,27,22.2
14,12,2020,22.75,28,21.9
14,12,2020,22.75,29,22.65
14,12,2020,22.75,30,21.9
14,12,2020,22.75,16,21.1
14,12,2020,22.75,17,21.1
14,12,2020,22.75,18,21.75
14,12,2020,22.75,20,21.3
14,12,2020,22.75,21,21.9
14,12,2020,22.75,22,21.75
14,12,2020,22.75,23,21.9
14,12,2020,22.75,24,20.6
14,12,2020,22.75,25,21.6
14,12,2020,22.75,27,21.8
14,12,2020,22.75,28,21.5
14,12,2020,22.75,29,22.1
18,12,2020,22.5,7,21.9
18,12,2020,22.5,7,21.5
18,12,2020,22.5,8,22.5
18,12,2020,22.5,8,22.1
18,12,2020,22.5,31,22.7
18,12,2020,22.5,31,22.2
