Day,Month,Year,Zero,Channel,Position
7,3,2019,24.4,8,22
7,3,2019,24.4,9,22.5
7,3,2019,24.4,10,22.2
7,3,2019,24.4,11,22.9
7,3,2019,24.4,12,21
7,3,2019,24.4,13,22
7,3,2019,24.4,14,20.8
7,3,2019,24.4,15,22
7,3,2019,24.4,8,22.4
7,3,2019,24.4,9,22.8
7,3,2019,24.4,10,22.55
7,3,2019,24.4,11,23.9
7,3,2019,24.4,12,21.35
7,3,2019,24.4,13,22.35
7,3,2019,24.4,14,21.1
7,3,2019,24.4,15,22.3
7,3,2019,24.4,24,22.1
7,3,2019,24.4,25,22.7
7,3,2019,24.4,26,21.9
7,3,2019,24.4,27,21.4
7,3,2019,24.4,28,21.5
7,3,2019,24.4,29,21.7
7,3,2019,24.4,30,22
7,3,2019,24.4,31,21.5
7,3,2019,24.4,24,22.4
7,3,2019,24.4,25,23
7,3,2019,24.4,26,22.25
7,3,2019,24.4,27,21.7
7,3,2019,24.4,28,21.75
7,3,2019,24.4,29,22.05
7,3,2019,24.4,30,22.3
7,3,2019,24.4,31,21.75
9,3,2019,24.4,0,22.25
9,3,2019,24.4,1,23.45
9,3,2019,24.4,2,22.75
9,3,2019,24.4,3,23.15
9,3,2019,24.4,4,23.2
9,3,2019,24.4,5,22.4
9,3,2019,24.4,6,22.6
9,3,2019,24.4,7,22.8
9,3,2019,24.4,16,23.4
9,3,2019,24.4,17,22.55
9,3,2019,24.4,18,22.15
9,3,2019,24.4,19,22.4
9,3,2019,24.4,20,21.95
9,3,2019,24.4,21,22.8
9,3,2019,24.4,22,22.2
9,3,2019,24.4,23,21.8
9,3,2019,24.4,0,21.9
9,3,2019,24.4,1,23
9,3,2019,24.4,2,22.4
9,3,2019,24.4,3,22.8
9,3,2019,24.4,4,22.9
9,3,2019,24.4,5,22
9,3,2019,24.4,6,22.3
9,3,2019,24.4,7,22.5
9,3,2019,24.4,16,23
9,3,2019,24.4,17,22.2
9,3,2019,24.4,18,21.8
9,3,2019,24.4,19,22
9,3,2019,24.4,20,21.6
9,3,2019,24.4,21,22
9,3,2019,24.4,22,21.9
9,3,2019,24.4,23,21.5
22,3,2019,24.4,0,21.6
22,3,2019,24.4,1,22.7
22,3,2019,24.4,2,22.1
22,3,2019,24.4,3,22.5
22,3,2019,24.4,4,22.6
22,3,2019,24.4,5,21.7
22,3,2019,24.4,6,22
22,3,2019,24.4,7,22.2
22,3,2019,24.4,8,21.7
22,3,2019,24.4,9,22.2
22,3,2019,24.4,10,21.85
22,3,2019,24.4,11,22.6
22,3,2019,24.4,12,20.7
22,3,2019,24.4,13,21.7
22,3,2019,24.4,14,20.5
22,3,2019,24.4,15,21.9
22,3,2019,24.4,16,22.65
22,3,2019,24.4,17,21.9
22,3,2019,24.4,18,21.5
22,3,2019,24.4,19,21.9
22,3,2019,24.4,20,21.3
22,3,2019,24.4,21,21.9
22,3,2019,24.4,22,21.6
22,3,2019,24.4,23,21.2
22,3,2019,24.4,24,21.7
22,3,2019,24.4,25,22.35
22,3,2019,24.4,26,21.6
22,3,2019,24.4,27,21.05
22,3,2019,24.4,28,21.2
22,3,2019,24.4,29,21.4
22,3,2019,24.4,30,21.65
22,3,2019,24.4,31,21.2
22,6,2019,22.9,0,20
22,6,2019,22.9,1,21.1
22,6,2019,22.9,2,20.5
22,6,2019,22.9,3,20.9
22,6,2019,22.9,4,21
22,6,2019,22.9,5,20.1
22,6,2019,22.9,6,20.4
22,6,2019,22.9,7,20.5
22,6,2019,22.9,8,20.1
22,6,2019,22.9,9,20.6
22,6,2019,22.9,10,20.25
22,6,2019,22.9,11,21
22,6,2019,22.9,13,20
22,6,2019,22.9,14,18.9
22,6,2019,22.9,15,20.3
22,6,2019,22.9,16,21
22,6,2019,22.9,17,20.3
22,6,2019,22.9,18,19.9
22,6,2019,22.9,19,20.3
22,6,2019,22.9,20,19.7
22,6,2019,22.9,21,20.3
22,6,2019,22.9,22,20
22,6,2019,22.9,23,19.6
22,6,2019,22.9,24,20.1
22,6,2019,22.9,25,20.7
22,6,2019,22.9,26,20
22,6,2019,22.9,27,19.4
22,6,2019,22.9,28,19.6
22,6,2019,22.9,29,19.8
22,6,2019,22.9,30,20
22,6,2019,22.9,31,19.6
3,7,2019,22.9,0,19.5
3,7,2019,22.9,1,20.5
3,7,2019,22.9,2,20.25
3,7,2019,22.9,3,20
3,7,2019,22.9,4,20.5
3,7,2019,22.9,5,19.9
3,7,2019,22.9,6,20
3,7,2019,22.9,7,20
3,7,2019,22.9,8,19.4
3,7,2019,22.9,9,20
3,7,2019,22.9,10,19.6
3,7,2019,22.9,11,20.4
3,7,2019,22.9,12,18.8
3,7,2019,22.9,13,19
3,7,2019,22.9,14,18.5
3,7,2019,22.9,15,20.1
3,7,2019,22.9,16,20
3,7,2019,22.9,17,19.5
3,7,2019,22.9,18,19.3
3,7,2019,22.9,19,19.8
3,7,2019,22.9,20,19
3,7,2019,22.9,21,19.9
3,7,2019,22.9,22,19.1
3,7,2019,22.9,23,19
3,7,2019,22.9,24,19.5
3,7,2019,22.9,25,20
3,7,2019,22.9,26,19.4
3,7,2019,22.9,27,19
3,7,2019,22.9,28,19
3,7,2019,22.9,29,19.1
3,7,2019,22.9,30,19.4
3,7,2019,22.9,31,19
29,9,2019,25,0,21.5
29,9,2019,25,2,22.2
29,9,2019,25,3,21.9
29,9,2019,25,4,22.3
29,9,2019,25,5,21.8
29,9,2019,25,6,21.9
29,9,2019,25,7,22
29,9,2019,25,9,21.9
29,9,2019,25,10,21.45
29,9,2019,25,11,22.25
29,9,2019,25,13,21
29,9,2019,25,14,20.4
29,9,2019,25,17,21.4
29,9,2019,25,18,21.1
29,9,2019,25,19,21.7
29,9,2019,25,20,20.9
29,9,2019,25,21,21.8
29,9,2019,25,22,21
29,9,2019,25,23,20.9
29,9,2019,25,24,21.3
29,9,2019,25,25,22
29,9,2019,25,26,21
29,9,2019,25,27,20.9
29,9,2019,25,28,20.8
29,9,2019,25,29,21
29,9,2019,25,30,21.2
29,9,2019,25,31,20.9
30,11,2019,25,0,21.4
30,11,2019,25,1,22.3
30,11,2019,25,2,21.9
30,11,2019,25,3,21.6
30,11,2019,25,4,22
30,11,2019,25,5,21.5
30,11,2019,25,6,21.8
30,11,2019,25,7,21.8
30,11,2019,25,8,21.4
30,11,2019,25,9,21.6
30,11,2019,25,10,21.3
30,11,2019,25,12,20.8
30,11,2019,25,13,20.7
30,11,2019,25,14,20
30,11,2019,25,16,21.6
30,11,2019,25,17,21
30,11,2019,25,18,20.7
30,11,2019,25,19,21.3
30,11,2019,25,20,20.75
30,11,2019,25,21,21.5
30,11,2019,25,22,20.6
30,11,2019,25,23,20.5
30,11,2019,25,24,20.9
30,11,2019,25,25,21.5
30,11,2019,25,26,20.6
30,11,2019,25,27,20.5
30,11,2019,25,30,21
30,11,2019,25,31,20.7
1,2,2020,25,2,21.5
1,2,2020,25,3,21.3
1,2,2020,25,4,21.6
1,2,2020,25,8,21
1,2,2020,25,10,21
1,2,2020,25,12,20.7
1,2,2020,25,16,21.2
1,2,2020,25,17,20.5
1,2,2020,25,18,20.3
1,2,2020,25,19,21
1,2,2020,25,21,21.2
1,2,2020,25,22,20.3
1,2,2020,25,23,20.2
17,5,2020,25,0,21.1
17,5,2020,25,1,22.15
17,5,2020,25,2,21.25
17,5,2020,25,3,21
17,5,2020,25,4,21.4
17,5,2020,25,5,21.25
17,5,2020,25,6,21.7
17,5,2020,25,7,21.7
17,5,2020,25,8,20.9
17,5,2020,25,9,21.5
17,5,2020,25,10,20.9
17,5,2020,25,11,21.75
17,5,2020,25,12,20.55
17,5,2020,25,13,20.5
17,5,2020,25,14,19.85
17,5,2020,25,15,22
17,5,2020,25,16,20.7
17,5,2020,25,17,20.05
17,5,2020,25,18,20
17,5,2020,25,19,20.6
