Day,Month,Year,Zero,Channel,Position,Depth
5,3,2019,24.35,0,23.5,-0.85
5,3,2019,24.35,0,23.8,-0.55
5,3,2019,24.35,1,21.5,-2.85
5,3,2019,24.35,1,21.75,-2.6
5,3,2019,24.35,2,23.8,-0.55
5,3,2019,24.35,2,24.15,-0.2
5,3,2019,24.35,3,22.8,-1.55
5,3,2019,24.35,3,23.1,-1.25
5,3,2019,24.35,4,23.35,-1
5,3,2019,24.35,4,23.65,-0.7
5,3,2019,24.35,5,22.8,-1.55
5,3,2019,24.35,5,23.1,-1.25
5,3,2019,24.35,6,23.9,-0.45
5,3,2019,24.35,6,24.2,-0.15
5,3,2019,24.35,7,23.8,-0.55
5,3,2019,24.35,7,24.15,-0.2
5,3,2019,24.35,8,24.3,-0.05
5,3,2019,24.35,8,24.6,0.25
5,3,2019,24.35,9,23.3,-1.05
5,3,2019,24.35,9,23.6,-0.75
5,3,2019,24.35,15,23.4,-0.95
5,3,2019,24.35,15,23.65,-0.7
5,3,2019,24.35,17,23.2,-1.15
5,3,2019,24.35,17,23.5,-0.85
5,3,2019,24.35,18,22.6,-1.75
5,3,2019,24.35,18,22.95,-1.4
5,3,2019,24.35,19,24.15,-0.2
5,3,2019,24.35,19,24.45,0.1
5,3,2019,24.35,20,22.8,-1.55
5,3,2019,24.35,20,23.1,-1.25
5,3,2019,24.35,21,23.3,-1.05
5,3,2019,24.35,21,23.65,-0.7
5,3,2019,24.35,22,24.3,-0.05
5,3,2019,24.35,22,24.65,0.3
5,3,2019,24.35,23,22.9,-1.45
5,3,2019,24.35,23,23.25,-1.1
5,3,2019,24.35,24,22.9,-1.45
5,3,2019,24.35,24,23.25,-1.1
5,3,2019,24.35,25,22.8,-1.55
5,3,2019,24.35,25,23.15,-1.2
5,3,2019,24.35,30,24.1,-0.25
5,3,2019,24.35,30,24.45,0.1
5,3,2019,24.35,31,23.5,-0.85
5,3,2019,24.35,31,23.8,-0.55
11,3,2019,24.4,10,24.3,-0.1
11,3,2019,24.4,10,24,-0.4
11,3,2019,24.4,11,22.9,-1.5
11,3,2019,24.4,11,22.6,-1.8
11,3,2019,24.4,12,23.1,-1.3
11,3,2019,24.4,12,22.8,-1.6
11,3,2019,24.4,13,23,-1.4
11,3,2019,24.4,13,22.7,-1.7
11,3,2019,24.4,14,24.5,0.1
11,3,2019,24.4,14,24,-0.4
11,3,2019,24.4,16,22.7,-1.7
11,3,2019,24.4,16,22.4,-2
11,3,2019,24.4,26,23.6,-0.8
11,3,2019,24.4,26,23.3,-1.1
11,3,2019,24.4,27,24,-0.4
11,3,2019,24.4,27,23.7,-0.7
11,3,2019,24.4,28,23.65,-0.75
11,3,2019,24.4,28,23.3,-1.1
11,3,2019,24.4,29,24.2,-0.2
11,3,2019,24.4,29,23.9,-0.5
20,4,2019,24.3,0,22.9,-1.4
20,4,2019,24.3,1,21,-3.3
20,4,2019,24.3,2,23.3,-1
20,4,2019,24.3,3,22.25,-2.05
20,4,2019,24.3,4,22.8,-1.5
20,4,2019,24.3,5,22.25,-2.05
20,4,2019,24.3,6,23.4,-0.9
20,4,2019,24.3,7,23.25,-1.05
20,4,2019,24.3,8,23.75,-0.55
20,4,2019,24.3,9,22.75,-1.55
20,4,2019,24.3,10,23.8,-0.5
20,4,2019,24.3,11,22.4,-1.9
20,4,2019,24.3,12,22.2,-2.1
20,4,2019,24.3,13,22.1,-2.2
20,4,2019,24.3,14,23.4,-0.9
20,4,2019,24.3,15,22.8,-1.5
20,4,2019,24.3,16,22.15,-2.15
20,4,2019,24.3,17,23.05,-1.25
20,4,2019,24.3,18,22.4,-1.9
20,4,2019,24.3,19,23.7,-0.6
20,4,2019,24.3,20,22.7,-1.6
20,4,2019,24.3,21,22.8,-1.5
20,4,2019,24.3,22,23.5,-0.8
20,4,2019,24.3,23,22.3,-2
20,4,2019,24.3,24,22.35,-1.95
20,4,2019,24.3,25,22.25,-2.05
20,4,2019,24.3,26,22.7,-1.6
20,4,2019,24.3,27,23.5,-0.8
20,4,2019,24.3,28,22.7,-1.6
20,4,2019,24.3,29,23.3,-1
