Block,datetime
Block_J6-320,2019-12-02 10:42:22
Block_J6-321,2019-12-02 16:13:01
Block_J6-322,2019-12-03 11:08:17
Block_J6-323,2019-12-03 17:04:45
Block_J6-324,2019-12-03 17:07:38
Block_J6-325,2019-12-04 10:26:31
Block_J6-326,2019-12-04 10:27:05
Block_J6-327,2019-12-04 15:59:34
Block_J6-328,2019-12-05 09:48:07
Block_J6-329,2019-12-05 09:50:29
Block_J6-330,2019-12-05 16:49:57
Block_J6-331,2019-12-05 16:50:47
Block_J6-332,2019-12-06 11:12:12
Block_J6-333,2019-12-06 16:43:23
Block_J6-334,2019-12-07 17:27:57
Block_J6-335,2019-12-07 17:28:53
Block_J6-336,2019-12-07 17:36:58
Block_J6-337,2019-12-09 09:36:11
Block_J6-338,2019-12-09 09:37:29
Block_J6-339,2019-12-09 16:02:28
Block_J6-340,2019-12-09 16:02:49
Block_J7-1,2019-12-10 10:27:43
Block_J7-10,2019-12-12 16:33:43
Block_J7-11,2019-12-13 10:34:03
Block_J7-12,2019-12-13 10:34:53
Block_J7-13,2019-12-13 15:28:23
Block_J7-14,2019-12-14 17:02:56
Block_J7-15,2019-12-14 17:34:50
Block_J7-16,2019-12-16 10:43:30
Block_J7-17,2019-12-16 10:44:02
Block_J7-18,2019-12-16 10:44:40
Block_J7-19,2019-12-16 16:45:31
Block_J7-2,2019-12-10 16:14:54
Block_J7-20,2019-12-17 09:44:20
Block_J7-21,2019-12-17 14:59:47
Block_J7-22,2019-12-18 10:58:21
Block_J7-23,2019-12-18 16:01:11
Block_J7-24,2019-12-19 09:51:39
Block_J7-25,2019-12-19 15:29:13
Block_J7-27,2019-12-20 10:58:26
Block_J7-28,2019-12-20 15:44:11
Block_J7-29,2020-01-13 09:27:00
Block_J7-3,2019-12-10 16:15:18
Block_J7-30,2020-01-13 15:10:48
Block_J7-31,2020-01-14 09:21:58
Block_J7-32,2020-01-14 14:56:44
Block_J7-33,2020-01-15 09:22:40
Block_J7-34,2020-01-15 15:10:52
Block_J7-35,2020-01-16 09:34:55
Block_J7-36,2020-01-30 18:51:57
Block_J7-37,2020-01-31 09:50:49
Block_J7-4,2019-12-10 16:15:46
Block_J7-5,2019-12-11 10:47:08
Block_J7-6,2019-12-11 16:26:15
Block_J7-7,2019-12-12 10:21:31
Block_J7-8,2019-12-12 10:21:52
Block_J7-9,2019-12-12 10:22:41
